symbol,sector
JPM,Finance
GS,Finance
BAC,Finance
MS,Finance
WFC,Finance
C,Finance
USB,Finance
SCHW,Finance
BLK,Finance
AXP,Finance
JNJ,Healthcare
PFE,Healthcare
UNH,Healthcare
MRK,Healthcare
ABBV,Healthcare
TMO,Healthcare
AMGN,Healthcare
BMY,Healthcare
MDT,Healthcare
GILD,Healthcare
HON,Industrial
GE,Industrial
CAT,Industrial
DE,Industrial
BAC,Industrial
MMM,Industrial
RTX,Industrial
LMT,Industrial
UPS,Industrial
FDX,Industrial
TSLA,Automotive
F,Automotive
GM,Automotive
TM,Automotive
HMC,Automotive
